country,t_avg_c,rh_avg_pct,ldac_productivity,sdac_productivity,ldac_cost_mult,sdac_cost_mult,ldac_elec_factor,sdac_elec_factor,sdac_heat_factor
AL,13.412922901317744,72.06252674235245,0.9143497899794637,0.7310763880049195,1.0936733523200788,1.3678461189657118,1.0003123596291161,0.9747653840800444,0.993903082840082
AT,8.126515456760343,76.21413344544023,0.8619063348019822,0.7776252807371149,1.16021887718199,1.285966422094836,1.0191003659608262,0.8823529411764705,0.8988663071467253
BA,11.327889946796796,75.34878526174639,0.897569937927617,0.7429542835185188,1.1141193100883948,1.34597783764588,1.0069103917063447,0.9195919686436351,0.9432374774207862
BE,10.91441754049815,78.33599311955408,0.8989134626926876,0.7359879201688455,1.112454136580076,1.35871795255904,1.0070683086485028,0.9088000461678898,0.93826740208219
BG,12.670501418625205,73.06954250433036,0.908048700897263,0.7360037016636699,1.1012625193030703,1.3586888187377186,1.002742091697866,0.9554536309672391,0.975756984484452
CH,6.3779840144373825,77.14642025706101,0.8424134134376459,0.7948785107985074,1.187065618909472,1.2580538867448243,1.025531875678542,0.8823529411764707,0.8934093367785867
CZ,9.879086182124851,74.96608682493337,0.8804937092742999,0.7615866185147683,1.1357264560404376,1.3130482806409873,1.0128084845901812,0.8823529411764705,0.9036686365727299
DE,10.448823851727953,75.69985463050534,0.8884265364003637,0.7519170244856253,1.125585469398177,1.3299339786648459,1.010201751012646,0.8949859933426672,0.9187029527104765
DK,9.719754984832974,82.28539891592787,0.8926002515613677,0.7342213445182928,1.1203223371837112,1.3619871003015842,1.0098308183277873,0.8823529411764705,0.9185636359267951
EE,7.409723734741618,79.9325103996561,0.8597630767811005,0.7713532735844763,1.1631111256183946,1.2964228379468763,1.0200934481391186,0.8823529411764705,0.9037275699343391
ES,14.54585478601215,64.07035887554686,0.9095985491935741,0.7480900955662696,1.0993860982810202,1.3367373875509556,0.9997846319390917,0.9947563656635777,1.0010020049898125
FI,3.1220291449629713,81.32985155739081,0.8054534431189371,0.817216244030881,1.2415366878658127,1.2236663273695425,1.0372275301172131,0.8823529411764707,0.8884551273347164
FR,12.129924562054597,74.44679286504235,0.904748740825096,0.7370325871290002,1.1052792392814368,1.3567921113167463,1.004193995388434,0.9415189835089814,0.9640062670347114
GB,9.714813104867083,82.82255168710205,0.8934959782520158,0.7321320359931868,1.1191992178368195,1.3658738462980002,1.0095856864403752,0.8823529411764705,0.9196854848868855
GR,15.568719517319883,69.23804246877444,0.9321708474606955,0.7169287548242051,1.072764721964945,1.3948387385371444,0.9932079809816092,1.0285122437597896,1.041583529524171
HR,13.138031669891275,73.72535706109332,0.9145966688249689,0.727909803254506,1.0933781349594824,1.3737965823910747,1.0005765465910232,0.9688568055086995,0.9908272289651409
HU,12.64883120899076,71.81683237338675,0.90530057428747,0.7411391952902492,1.104605507167677,1.3492742069974781,1.0034445901254618,0.9538844973827352,0.9717720985520845
IE,10.074650484573342,83.74575923811643,0.8995896369655197,0.72418457215555,1.1116179632450889,1.3808634406881657,1.0077128260518702,0.8846307856469277,0.9251464431837559
IT,13.728443440250471,73.07465692140703,0.9199078803736193,0.7234185984085519,1.0870653696257624,1.3823255335153108,0.9985703426387141,0.9844187041329949,1.005725085292824
LT,8.826622775227106,77.08280953601422,0.871958037969921,0.7657492885532178,1.1468441787957873,1.3059104526095846,1.0159134030848125,0.8823529411764703,0.9036937342265285
LU,10.160820874461308,77.56080207951987,0.8889227979530063,0.747875578580467,1.1249570854778166,1.3371208107879216,1.0104200152338865,0.8869675922069337,0.9144107806972821
LV,8.075712210581134,78.9880280162494,0.8663096199768613,0.7671393414080288,1.1543217077823855,1.303544149051947,1.0179341252704934,0.8823529411764705,0.9045520264625778
MD,11.935522388504893,71.8562416046038,0.8973903339604624,0.7494924768068935,1.1143422902570048,1.3342362077606948,1.006236245954363,0.9346440623969485,0.9518666220714592
ME,10.824371828920306,74.22557682165069,0.8896841181272088,0.7533445686260618,1.1239944376044464,1.3274138311288082,1.0094480042103384,0.9051990914986867,0.9261505430784795
MK,12.447189152268546,66.37421126892656,0.8921799187604508,0.764781965463027,1.1208501547416008,1.3075622140155507,1.0069203327649878,0.9445217743685498,0.9517029173687396
NL,11.200617501643682,79.32657250644644,0.9041000610313021,0.7287342058017534,1.1060722624654016,1.372242433576725,1.0054524568868985,0.9174274180380938,0.9490518396722832
NO,2.6580432696062024,79.73030689652253,0.7968712270771536,0.8291822531786353,1.2549079023318523,1.2060074804622773,1.0400725633876955,0.8823529411764705,0.8830774328419891
PL,10.32219566594056,75.14883951631626,0.8859062704911667,0.7556046512945195,1.1287875854469087,1.3234434148688428,1.01097221436264,0.8913695716798326,0.9138367586196202
PT,15.392520668378532,70.56529845487358,0.933235000993618,0.7138051535327181,1.0715414648350063,1.4009425331981213,0.9932485399990633,1.025992718751699,1.0420705412044589
RO,11.396461757905698,73.83409587350066,0.8953085634355452,0.7481202421416685,1.1169333577719005,1.3366835218056219,1.0073863103759872,0.9208928607279411,0.9415393947928158
RS,12.323634546133732,72.71456784831301,0.9034538426133238,0.7415104205983497,1.1068634088792046,1.3485987144901703,1.0042839191047375,0.9457161096418234,0.9650054964065274
SE,4.046222673907364,79.0262219791625,0.8152793271431391,0.8153404399964617,1.2265734782018205,1.2264815418751212,1.0342649132786557,0.8823529411764705,0.887486526227611
SI,11.351912111346394,76.343129116158,0.8998276738793956,0.73874755232225,1.111323900151609,1.3536423868431158,1.0063258985187542,0.9206610126756303,0.9463308975984212
SK,10.084015195251217,75.6318591283787,0.884204688443571,0.7564833076132426,1.1309598479513365,1.3219062336683536,1.011672915916065,0.8847160380343844,0.9080241975342004
UA,10.661886394515173,73.48108301146472,0.8863752936414995,0.7582251944792978,1.1281902904713146,1.318869390361973,1.0104550866169526,0.9005511344087742,0.9198213069968268
XK,11.713199493415917,69.59608934016074,0.8904181486599929,0.7610295695368532,1.1230678546982886,1.3140093894230407,1.0082257707943412,0.9274988161381206,0.9399967761718839
